array	sample	purity
TCGA-14-0862-01	TCGA-14-0862-01B-01D-1842-01	0.68
TCGA-14-0865-01	TCGA-14-0865-01B-01D-0591-01	0.9
TCGA-14-0866-01	TCGA-14-0866-01B-01D-0591-01	0.76
TCGA-14-0867-01	TCGA-14-0867-01A-01D-0384-01	0.85
TCGA-14-0871-01	TCGA-14-0871-01A-01D-0384-01	0.93
TCGA-14-1034-01	TCGA-14-1034-01A-01D-0517-01	0.54
TCGA-14-1034-02	TCGA-14-1034-02B-01D-2002-01	0.97
TCGA-14-1037-01	TCGA-14-1037-01A-01D-0591-01	0.51
TCGA-14-1043-01	TCGA-14-1043-01B-11D-1842-01	0.54
TCGA-14-1395-01	TCGA-14-1395-01B-11D-1842-01	0.93
TCGA-14-1396-01	TCGA-14-1396-01A-01D-0517-01	0.76
TCGA-14-1450-01	TCGA-14-1450-01B-01D-1842-01	0.68
TCGA-14-1451-01	TCGA-14-1451-01A-01D-0517-01	0.78
TCGA-14-1453-01	TCGA-14-1453-01A-01D-0517-01	0.95
TCGA-14-1455-01	TCGA-14-1455-01A-01D-0591-01	0.89
TCGA-14-1456-01	TCGA-14-1456-01B-01D-0784-01	0.8
TCGA-14-1458-01	TCGA-14-1458-01A-01D-0591-01	0.77
TCGA-14-1794-01	TCGA-14-1794-01A-01D-0591-01	0.7
TCGA-14-1795-01	TCGA-14-1795-01A-01D-0591-01	0.68
TCGA-14-1821-01	TCGA-14-1821-01A-01D-0591-01	0.98
TCGA-14-1823-01	TCGA-14-1823-01A-01D-0591-01	0.64
TCGA-14-1825-01	TCGA-14-1825-01A-01D-0591-01	0.88
TCGA-14-1827-01	TCGA-14-1827-01A-01D-0591-01	0.78
TCGA-14-1829-01	TCGA-14-1829-01A-01D-0591-01	0.7
TCGA-14-2554-01	TCGA-14-2554-01A-01D-0784-01	0.81
TCGA-14-3477-01	TCGA-14-3477-01A-01D-0911-01	0.92
TCGA-14-4157-01	TCGA-14-4157-01A-01D-1224-01	0.98
TCGA-15-0742-01	TCGA-15-0742-01A-01D-0333-01	0.92
TCGA-15-1444-01	TCGA-15-1444-01A-02D-1694-01	0.6
TCGA-15-1446-01	TCGA-15-1446-01A-01D-0517-01	0.69
TCGA-16-0846-01	TCGA-16-0846-01A-01D-0384-01	0.64
TCGA-16-0848-01	TCGA-16-0848-01A-01D-0384-01	0.81
TCGA-16-0849-01	TCGA-16-0849-01A-01D-0384-01	0.86
TCGA-16-0850-01	TCGA-16-0850-01A-01D-0384-01	1
TCGA-16-0861-01	TCGA-16-0861-01A-01D-0384-01	0.88
TCGA-16-1045-01	TCGA-16-1045-01B-01D-0517-01	0.49
TCGA-16-1048-01	TCGA-16-1048-01B-01D-1224-01	0.67
TCGA-16-1460-01	TCGA-16-1460-01A-01D-0591-01	0.74
TCGA-19-0957-01	TCGA-19-0957-01C-01D-0591-01	0.74
TCGA-19-1385-01	TCGA-19-1385-01A-02D-0591-01	0.6
TCGA-19-1386-01	TCGA-19-1386-01A-01D-0591-01	0.9
TCGA-19-1387-01	TCGA-19-1387-01A-01D-0591-01	0.82
TCGA-19-1388-01	TCGA-19-1388-01A-01D-0591-01	0.65
TCGA-19-1389-01	TCGA-19-1389-01A-01D-0591-01	0.36
TCGA-19-1390-01	TCGA-19-1390-01A-01D-0911-01	0.8
TCGA-19-1786-01	TCGA-19-1786-01A-01D-0591-01	0.87
TCGA-19-1787-01	TCGA-19-1787-01B-01D-0911-01	0.86
TCGA-19-1789-01	TCGA-19-1789-01A-01D-0591-01	0.9
TCGA-19-1791-01	TCGA-19-1791-01A-01D-0591-01	0.95
TCGA-19-2619-01	TCGA-19-2619-01A-01D-0911-01	0.92
TCGA-19-2620-01	TCGA-19-2620-01A-01D-0911-01	0.66
TCGA-19-2621-01	TCGA-19-2621-01B-01D-0911-01	0.92
TCGA-19-2623-01	TCGA-19-2623-01A-01D-0911-01	0.73
TCGA-19-2624-01	TCGA-19-2624-01A-01D-0911-01	0.94
TCGA-19-2625-01	TCGA-19-2625-01A-01D-0911-01	0.65
TCGA-19-2629-01	TCGA-19-2629-01A-01D-0911-01	0.6
TCGA-19-2631-01	TCGA-19-2631-01A-01D-1224-01	0.86
TCGA-19-4065-01	TCGA-19-4065-01A-01D-2002-01	0.47
TCGA-19-4065-02	TCGA-19-4065-02A-11D-2002-01	0.49
TCGA-19-5947-01	TCGA-19-5947-01A-11D-1694-01	0.56
TCGA-19-5950-01	TCGA-19-5950-01A-11D-1694-01	0.84
TCGA-19-5951-01	TCGA-19-5951-01A-11D-1694-01	0.93
TCGA-19-5952-01	TCGA-19-5952-01A-11D-1694-01	0.69
TCGA-19-5953-01	TCGA-19-5953-01B-12D-1842-01	0.53
TCGA-19-5954-01	TCGA-19-5954-01A-11D-1694-01	0.8
TCGA-19-5955-01	TCGA-19-5955-01A-11D-1694-01	0.38
TCGA-19-5956-01	TCGA-19-5956-01A-11D-1694-01	0.89
TCGA-19-5958-01	TCGA-19-5958-01A-11D-1694-01	0.75
TCGA-19-5959-01	TCGA-19-5959-01A-11D-1694-01	0.92
TCGA-19-5960-01	TCGA-19-5960-01A-11D-1694-01	0.97
TCGA-19-A60I-01	TCGA-19-A60I-01A-12D-A33S-01	0.91
TCGA-19-A6J4-01	TCGA-19-A6J4-01A-11D-A33S-01	0.34
TCGA-19-A6J5-01	TCGA-19-A6J5-01A-21D-A33S-01	0.96
TCGA-26-1439-01	TCGA-26-1439-01A-01D-1224-01	0.66
TCGA-26-1442-01	TCGA-26-1442-01A-01D-1694-01	0.79
TCGA-26-1799-01	TCGA-26-1799-01A-02D-0591-01	0.84
TCGA-26-5132-01	TCGA-26-5132-01A-01D-1479-01	0.89
TCGA-26-5133-01	TCGA-26-5133-01A-01D-1479-01	0.89
TCGA-26-5134-01	TCGA-26-5134-01A-01D-1479-01	0.92
TCGA-26-5135-01	TCGA-26-5135-01A-01D-1479-01	0.81
TCGA-26-5136-01	TCGA-26-5136-01B-01D-1479-01	0.83
TCGA-26-5139-01	TCGA-26-5139-01A-01D-1479-01	0.8
TCGA-26-6173-01	TCGA-26-6173-01A-11D-1842-01	0.57
TCGA-26-6174-01	TCGA-26-6174-01A-21D-1842-01	0.49
TCGA-26-A7UX-01	TCGA-26-A7UX-01B-11D-A390-01	0.97
TCGA-27-1830-01	TCGA-27-1830-01A-01D-0591-01	0.68
TCGA-27-1831-01	TCGA-27-1831-01A-01D-0784-01	0.7
TCGA-27-1832-01	TCGA-27-1832-01A-01D-0591-01	0.6
TCGA-27-1833-01	TCGA-27-1833-01A-01D-0591-01	0.93
TCGA-27-1834-01	TCGA-27-1834-01A-01D-0591-01	0.74
TCGA-27-1835-01	TCGA-27-1835-01A-01D-0784-01	0.87
TCGA-27-1836-01	TCGA-27-1836-01A-01D-0784-01	0.7
TCGA-27-1837-01	TCGA-27-1837-01A-01D-0784-01	0.82
TCGA-27-1838-01	TCGA-27-1838-01A-01D-0784-01	0.73
TCGA-27-2518-01	TCGA-27-2518-01A-01D-0784-01	0.66
TCGA-27-2519-01	TCGA-27-2519-01A-01D-0784-01	0.7
TCGA-27-2521-01	TCGA-27-2521-01A-01D-0784-01	0.91
TCGA-27-2523-01	TCGA-27-2523-01A-01D-0784-01	0.92
TCGA-27-2524-01	TCGA-27-2524-01A-01D-0784-01	0.8
TCGA-27-2526-01	TCGA-27-2526-01A-01D-0784-01	0.85
TCGA-27-2527-01	TCGA-27-2527-01A-01D-0784-01	0.36
TCGA-27-2528-01	TCGA-27-2528-01A-01D-0784-01	0.77
TCGA-28-1746-01	TCGA-28-1746-01A-01D-0591-01	0.88
TCGA-28-1747-01	TCGA-28-1747-01C-01D-0784-01	0.8
TCGA-28-1749-01	TCGA-28-1749-01A-01D-0591-01	0.9
TCGA-28-1750-01	TCGA-28-1750-01A-01D-0591-01	0.54
TCGA-28-1751-01	TCGA-28-1751-01A-02D-0591-01	0.38
TCGA-28-1752-01	TCGA-28-1752-01A-01D-0591-01	0.53
TCGA-28-1753-01	TCGA-28-1753-01A-01D-0784-01	0.61
TCGA-28-1755-01	TCGA-28-1755-01A-01D-0591-01	0.89
TCGA-28-1757-01	TCGA-28-1757-01A-02D-0591-01	0.75
TCGA-28-2501-01	TCGA-28-2501-01A-01D-1694-01	0.32
TCGA-28-2502-01	TCGA-28-2502-01B-01D-0784-01	0.52
TCGA-28-2506-01	TCGA-28-2506-01A-02D-0784-01	0.51
TCGA-28-2509-01	TCGA-28-2509-01A-01D-0784-01	0.74
TCGA-28-2510-01	TCGA-28-2510-01A-01D-1694-01	0.3
TCGA-28-2513-01	TCGA-28-2513-01A-01D-0784-01	0.32
TCGA-28-2514-01	TCGA-28-2514-01A-02D-0784-01	0.88
TCGA-28-5204-01	TCGA-28-5204-01A-01D-1479-01	0.88
TCGA-28-5207-01	TCGA-28-5207-01A-01D-1479-01	0.74
TCGA-28-5208-01	TCGA-28-5208-01A-01D-1479-01	0.87
TCGA-28-5209-01	TCGA-28-5209-01A-01D-1479-01	0.92
TCGA-28-5211-01	TCGA-28-5211-01C-11D-1842-01	0.46
TCGA-28-5213-01	TCGA-28-5213-01A-01D-1479-01	0.49
TCGA-28-5214-01	TCGA-28-5214-01A-01D-1479-01	0.76
TCGA-28-5215-01	TCGA-28-5215-01A-01D-1479-01	0.77
TCGA-28-5216-01	TCGA-28-5216-01A-01D-1479-01	0.88
TCGA-28-5218-01	TCGA-28-5218-01A-01D-1479-01	0.6
TCGA-28-5219-01	TCGA-28-5219-01A-01D-1479-01	0.74
TCGA-28-5220-01	TCGA-28-5220-01A-01D-1479-01	0.88
TCGA-28-6450-01	TCGA-28-6450-01A-11D-1694-01	0.76
TCGA-32-1970-01	TCGA-32-1970-01A-01D-0784-01	0.87
TCGA-32-1976-01	TCGA-32-1976-01A-01D-0784-01	0.85
TCGA-32-1977-01	TCGA-32-1977-01A-01D-1224-01	0.53
TCGA-32-1979-01	TCGA-32-1979-01A-01D-1694-01	0.54
TCGA-32-1980-01	TCGA-32-1980-01A-01D-1694-01	0.18
TCGA-32-1982-01	TCGA-32-1982-01A-01D-0784-01	0.58
TCGA-32-1986-01	TCGA-32-1986-01A-01D-0784-01	0.53
TCGA-32-1991-01	TCGA-32-1991-01A-01D-1224-01	0.81
TCGA-32-2491-01	TCGA-32-2491-01A-01D-1224-01	0.58
TCGA-32-2494-01	TCGA-32-2494-01A-01D-1224-01	0.58
TCGA-32-2495-01	TCGA-32-2495-01A-01D-1224-01	0.83
TCGA-32-2615-01	TCGA-32-2615-01A-01D-0911-01	0.84
TCGA-32-2616-01	TCGA-32-2616-01A-01D-0911-01	0.83
TCGA-32-2632-01	TCGA-32-2632-01A-01D-0911-01	0.59
TCGA-32-2634-01	TCGA-32-2634-01A-01D-0911-01	0.89
TCGA-32-2638-01	TCGA-32-2638-01A-01D-0911-01	0.83
TCGA-32-4208-01	TCGA-32-4208-01A-01D-1224-01	0.91
TCGA-32-4210-01	TCGA-32-4210-01A-01D-1224-01	0.75
TCGA-32-4211-01	TCGA-32-4211-01A-01D-1224-01	0.65
TCGA-32-4213-01	TCGA-32-4213-01A-01D-1224-01	0.69
TCGA-32-4719-01	TCGA-32-4719-01A-01D-1224-01	0.82
TCGA-32-5222-01	TCGA-32-5222-01A-01D-1479-01	0.59
TCGA-41-2571-01	TCGA-41-2571-01A-01D-0911-01	0.78
TCGA-41-2572-01	TCGA-41-2572-01A-01D-1224-01	0.84
TCGA-41-2573-01	TCGA-41-2573-01A-01D-0911-01	0.67
TCGA-41-2575-01	TCGA-41-2575-01A-01D-0911-01	0.92
TCGA-41-3392-01	TCGA-41-3392-01A-01D-0911-01	0.86
TCGA-41-3915-01	TCGA-41-3915-01A-01D-1224-01	0.77
TCGA-41-4097-01	TCGA-41-4097-01A-01D-1224-01	0.53
TCGA-41-5651-01	TCGA-41-5651-01A-01D-1694-01	0.94
TCGA-41-6646-01	TCGA-41-6646-01A-11D-1842-01	0.68
TCGA-4W-AA9R-01	TCGA-4W-AA9R-01A-11D-A390-01	0.73
TCGA-4W-AA9S-01	TCGA-4W-AA9S-01A-11D-A390-01	0.81
TCGA-4W-AA9T-01	TCGA-4W-AA9T-01A-11D-A390-01	0.55
TCGA-74-6573-01	TCGA-74-6573-01A-12D-1842-01	0.86
TCGA-74-6575-01	TCGA-74-6575-01A-11D-1842-01	0.63
TCGA-74-6578-01	TCGA-74-6578-01A-11D-1842-01	0.71
TCGA-74-6581-01	TCGA-74-6581-01A-11D-1842-01	0.89
TCGA-74-6584-01	TCGA-74-6584-01A-11D-1842-01	0.53
TCGA-76-4925-01	TCGA-76-4925-01A-01D-1479-01	0.94
TCGA-76-4926-01	TCGA-76-4926-01B-01D-1479-01	0.79
TCGA-76-4928-01	TCGA-76-4928-01B-01D-1479-01	0.41
TCGA-76-4929-01	TCGA-76-4929-01A-01D-1479-01	0.8
TCGA-76-4931-01	TCGA-76-4931-01A-01D-1479-01	0.93
TCGA-76-4934-01	TCGA-76-4934-01A-01D-1479-01	0.85
TCGA-76-4935-01	TCGA-76-4935-01A-01D-1479-01	0.92
TCGA-76-6191-01	TCGA-76-6191-01A-12D-1694-01	0.89
TCGA-76-6192-01	TCGA-76-6192-01A-11D-1694-01	0.52
TCGA-76-6193-01	TCGA-76-6193-01A-11D-1694-01	0.43
TCGA-76-6280-01	TCGA-76-6280-01A-21D-1842-01	0.79
TCGA-76-6282-01	TCGA-76-6282-01A-11D-1694-01	0.57
TCGA-76-6283-01	TCGA-76-6283-01A-11D-1842-01	0.91
TCGA-76-6285-01	TCGA-76-6285-01A-11D-1694-01	0.88
TCGA-76-6286-01	TCGA-76-6286-01A-11D-1842-01	0.94
TCGA-76-6656-01	TCGA-76-6656-01A-11D-1842-01	0.85
TCGA-76-6657-01	TCGA-76-6657-01A-11D-1842-01	0.81
TCGA-76-6660-01	TCGA-76-6660-01A-11D-1842-01	0.75
TCGA-76-6661-01	TCGA-76-6661-01B-11D-1842-01	0.8
TCGA-76-6662-01	TCGA-76-6662-01A-11D-1842-01	0.59
TCGA-76-6663-01	TCGA-76-6663-01A-11D-1842-01	0.58
TCGA-76-6664-01	TCGA-76-6664-01A-11D-1842-01	0.7
TCGA-81-5910-01	TCGA-81-5910-01A-11D-1694-01	0.9
TCGA-81-5911-01	TCGA-81-5911-01A-12D-1842-01	0.79
TCGA-87-5896-01	TCGA-87-5896-01A-01D-1694-01	0.86
TCGA-OX-A56R-01	TCGA-OX-A56R-01A-11D-A33S-01	0.93
TCGA-RR-A6KA-01	TCGA-RR-A6KA-01A-21D-A33S-01	0.57
TCGA-RR-A6KB-01	TCGA-RR-A6KB-01A-12D-A33S-01	0.42
TCGA-RR-A6KC-01	TCGA-RR-A6KC-01A-31D-A33S-01	0.77
TCGA-4P-AA8J-01	TCGA-4P-AA8J-01A-11D-A390-01	0.36
TCGA-BA-4074-01	TCGA-BA-4074-01A-01D-1432-01	0.61
TCGA-BA-4076-01	TCGA-BA-4076-01A-01D-1432-01	0.85
TCGA-BA-4078-01	TCGA-BA-4078-01A-01D-1432-01	0.86
TCGA-BA-5149-01	TCGA-BA-5149-01A-01D-1510-01	0.5
TCGA-BA-5151-01	TCGA-BA-5151-01A-01D-1432-01	0.62
TCGA-BA-5152-01	TCGA-BA-5152-01A-02D-1869-01	0.35
TCGA-BA-5153-01	TCGA-BA-5153-01A-01D-1432-01	0.79
TCGA-BA-5555-01	TCGA-BA-5555-01A-01D-1510-01	0.46
TCGA-BA-5556-01	TCGA-BA-5556-01A-01D-1510-01	0.3
TCGA-BA-5557-01	TCGA-BA-5557-01A-01D-1510-01	0.28
TCGA-BA-5558-01	TCGA-BA-5558-01A-01D-1510-01	0.45
TCGA-BA-5559-01	TCGA-BA-5559-01A-01D-1510-01	0.62
TCGA-BA-6868-01	TCGA-BA-6868-01B-12D-1910-01	0.66
TCGA-BA-6869-01	TCGA-BA-6869-01A-11D-1869-01	0.64
TCGA-BA-6870-01	TCGA-BA-6870-01A-11D-1869-01	0.32
TCGA-BA-6871-01	TCGA-BA-6871-01A-11D-1869-01	0.7
TCGA-BA-6872-01	TCGA-BA-6872-01A-11D-1869-01	0.58
TCGA-BA-6873-01	TCGA-BA-6873-01A-11D-1869-01	0.41
TCGA-BA-7269-01	TCGA-BA-7269-01A-11D-2010-01	0.55
TCGA-BA-A4IF-01	TCGA-BA-A4IF-01A-11D-A25X-01	0.33
TCGA-BA-A4IG-01	TCGA-BA-A4IG-01A-11D-A25X-01	0.56
TCGA-BA-A4IH-01	TCGA-BA-A4IH-01A-11D-A25X-01	0.88
TCGA-BA-A4II-01	TCGA-BA-A4II-01A-11D-A25X-01	0.31
TCGA-BA-A6D8-01	TCGA-BA-A6D8-01A-31D-A31K-01	0.49
TCGA-BA-A6DA-01	TCGA-BA-A6DA-01A-31D-A31K-01	0.48
TCGA-BA-A6DB-01	TCGA-BA-A6DB-01A-11D-A30D-01	0.21
TCGA-BA-A6DD-01	TCGA-BA-A6DD-01A-12D-A31K-01	0.21
TCGA-BA-A6DE-01	TCGA-BA-A6DE-01A-22D-A31K-01	0.67
TCGA-BA-A6DF-01	TCGA-BA-A6DF-01A-11D-A30D-01	0.35
TCGA-BA-A6DG-01	TCGA-BA-A6DG-01A-21D-A30D-01	0.17
TCGA-BA-A6DI-01	TCGA-BA-A6DI-01A-11D-A30D-01	0.33
TCGA-BA-A6DJ-01	TCGA-BA-A6DJ-01A-11D-A30D-01	0.56
TCGA-BA-A6DL-01	TCGA-BA-A6DL-01A-21D-A30D-01	0.33
TCGA-BA-A8YP-01	TCGA-BA-A8YP-01A-11D-A390-01	0.61
TCGA-BB-4217-01	TCGA-BB-4217-01A-11D-2077-01	0.14
TCGA-BB-4223-01	TCGA-BB-4223-01A-01D-1432-01	0.74
TCGA-BB-4224-01	TCGA-BB-4224-01A-01D-1432-01	0.74
TCGA-BB-4225-01	TCGA-BB-4225-01A-01D-1432-01	0.65
TCGA-BB-4227-01	TCGA-BB-4227-01A-01D-1869-01	0.79
TCGA-BB-4228-01	TCGA-BB-4228-01A-01D-1432-01	0.9
TCGA-BB-7870-01	TCGA-BB-7870-01A-11D-2228-01	0.71
TCGA-BB-8596-01	TCGA-BB-8596-01A-11D-2390-01	0.25
TCGA-BB-8601-01	TCGA-BB-8601-01A-11D-2390-01	0.9
TCGA-BB-A5HU-01	TCGA-BB-A5HU-01A-11D-A28Q-01	0.36
TCGA-BB-A5HY-01	TCGA-BB-A5HY-01A-11D-A28Q-01	0.6
TCGA-BB-A5HZ-01	TCGA-BB-A5HZ-01A-21D-A28Q-01	0.36
TCGA-BB-A6UM-01	TCGA-BB-A6UM-01A-12D-A34I-01	0.82
TCGA-BB-A6UO-01	TCGA-BB-A6UO-01A-12D-A34I-01	0.61
TCGA-C9-A47Z-01	TCGA-C9-A47Z-01A-11D-A24C-01	0.66
TCGA-C9-A480-01	TCGA-C9-A480-01A-12D-A24C-01	0.37
TCGA-CN-4723-01	TCGA-CN-4723-01A-01D-1432-01	0.52
TCGA-CN-4725-01	TCGA-CN-4725-01A-01D-1432-01	0.59
TCGA-CN-4726-01	TCGA-CN-4726-01A-01D-1432-01	0.48
TCGA-CN-4727-01	TCGA-CN-4727-01A-01D-1432-01	0.47
TCGA-CN-4728-01	TCGA-CN-4728-01A-01D-1432-01	0.24
TCGA-CN-4729-01	TCGA-CN-4729-01A-01D-1432-01	0.29
TCGA-CN-4730-01	TCGA-CN-4730-01A-01D-1432-01	0.48
TCGA-CN-4731-01	TCGA-CN-4731-01A-01D-1432-01	0.63
TCGA-CN-4733-01	TCGA-CN-4733-01A-02D-1869-01	0.14
TCGA-CN-4735-01	TCGA-CN-4735-01A-01D-1432-01	0.72
TCGA-CN-4736-01	TCGA-CN-4736-01A-01D-1432-01	0.34
TCGA-CN-4737-01	TCGA-CN-4737-01A-01D-1432-01	0.51
TCGA-CN-4738-01	TCGA-CN-4738-01A-02D-1510-01	0.23
TCGA-CN-4739-01	TCGA-CN-4739-01A-02D-1510-01	0.49
TCGA-CN-4740-01	TCGA-CN-4740-01A-01D-1432-01	0.24
TCGA-CN-4741-01	TCGA-CN-4741-01A-01D-1432-01	0.64
TCGA-CN-4742-01	TCGA-CN-4742-01A-02D-1510-01	0.3
TCGA-CN-5355-01	TCGA-CN-5355-01A-01D-1432-01	0.46
TCGA-CN-5356-01	TCGA-CN-5356-01A-01D-1432-01	0.37
TCGA-CN-5358-01	TCGA-CN-5358-01A-01D-1510-01	0.98
TCGA-CN-5359-01	TCGA-CN-5359-01A-01D-1432-01	0.19
TCGA-CN-5360-01	TCGA-CN-5360-01A-01D-1432-01	0.53
TCGA-CN-5363-01	TCGA-CN-5363-01A-01D-1432-01	0.51
TCGA-CN-5364-01	TCGA-CN-5364-01A-01D-1432-01	0.43
TCGA-CN-5365-01	TCGA-CN-5365-01A-01D-1432-01	1
TCGA-CN-5366-01	TCGA-CN-5366-01A-01D-1432-01	0.25
TCGA-CN-5367-01	TCGA-CN-5367-01A-01D-1432-01	0.55
TCGA-CN-5369-01	TCGA-CN-5369-01A-01D-1432-01	0.18
TCGA-CN-5370-01	TCGA-CN-5370-01A-01D-2010-01	0.44
TCGA-CN-5373-01	TCGA-CN-5373-01A-01D-1432-01	0.47
TCGA-CN-5374-01	TCGA-CN-5374-01A-01D-1432-01	0.4
TCGA-CN-6010-01	TCGA-CN-6010-01A-11D-1682-01	0.41
TCGA-CN-6011-01	TCGA-CN-6011-01A-11D-1682-01	0.68
TCGA-CN-6012-01	TCGA-CN-6012-01A-11D-1682-01	0.62
TCGA-CN-6013-01	TCGA-CN-6013-01A-11D-1682-01	0.51
TCGA-CN-6016-01	TCGA-CN-6016-01A-11D-1682-01	0.32
TCGA-CN-6017-01	TCGA-CN-6017-01A-11D-1682-01	0.47
TCGA-CN-6018-01	TCGA-CN-6018-01A-11D-1682-01	0.31
TCGA-CN-6019-01	TCGA-CN-6019-01A-11D-1682-01	0.36
TCGA-CN-6020-01	TCGA-CN-6020-01A-11D-1682-01	0.34
TCGA-CN-6021-01	TCGA-CN-6021-01A-11D-1682-01	0.43
TCGA-CN-6022-01	TCGA-CN-6022-01A-21D-1682-01	0.37
TCGA-CN-6023-01	TCGA-CN-6023-01A-11D-1682-01	0.36
TCGA-CN-6024-01	TCGA-CN-6024-01A-11D-1682-01	0.61
TCGA-CN-6988-01	TCGA-CN-6988-01A-11D-1910-01	0.77
TCGA-CN-6989-01	TCGA-CN-6989-01A-11D-1910-01	0.31
TCGA-CN-6992-01	TCGA-CN-6992-01A-11D-1910-01	0.57
TCGA-CN-6994-01	TCGA-CN-6994-01A-11D-1910-01	0.58
TCGA-CN-6995-01	TCGA-CN-6995-01A-31D-2010-01	0.37
TCGA-CN-6996-01	TCGA-CN-6996-01A-11D-1910-01	0.46
TCGA-CN-6997-01	TCGA-CN-6997-01A-11D-2010-01	0.81
TCGA-CN-6998-01	TCGA-CN-6998-01A-23D-2010-01	0.46
TCGA-CN-A497-01	TCGA-CN-A497-01A-11D-A24C-01	0.67
TCGA-CN-A498-01	TCGA-CN-A498-01A-11D-A24C-01	0.54
TCGA-CN-A499-01	TCGA-CN-A499-01A-11D-A24C-01	0.42
TCGA-CN-A49A-01	TCGA-CN-A49A-01A-11D-A24C-01	0.55
TCGA-CN-A49B-01	TCGA-CN-A49B-01A-31D-A24C-01	0.66
TCGA-CN-A49C-01	TCGA-CN-A49C-01A-11D-A24C-01	0.82
TCGA-CN-A63T-01	TCGA-CN-A63T-01A-11D-A28Q-01	0.36
TCGA-CN-A63U-01	TCGA-CN-A63U-01A-11D-A30D-01	0.72
TCGA-CN-A63V-01	TCGA-CN-A63V-01A-11D-A28Q-01	0.32
TCGA-CN-A63W-01	TCGA-CN-A63W-01A-11D-A30D-01	0.8
TCGA-CN-A63Y-01	TCGA-CN-A63Y-01A-11D-A30D-01	0.42
TCGA-CN-A640-01	TCGA-CN-A640-01A-21D-A30D-01	0.31
TCGA-CN-A641-01	TCGA-CN-A641-01A-11D-A30D-01	0.67
TCGA-CN-A642-01	TCGA-CN-A642-01A-12D-A30D-01	0.71
TCGA-CN-A6UY-01	TCGA-CN-A6UY-01A-12D-A34I-01	0.85
TCGA-CN-A6V1-01	TCGA-CN-A6V1-01A-12D-A34I-01	0.27
TCGA-CN-A6V3-01	TCGA-CN-A6V3-01A-12D-A34I-01	0.54
TCGA-CN-A6V6-01	TCGA-CN-A6V6-01A-12D-A34I-01	0.57
TCGA-CN-A6V7-01	TCGA-CN-A6V7-01A-12D-A34I-01	0.89
TCGA-CQ-5323-01	TCGA-CQ-5323-01A-01D-1682-01	0.62
TCGA-CQ-5324-01	TCGA-CQ-5324-01A-01D-1682-01	0.68
TCGA-CQ-5325-01	TCGA-CQ-5325-01A-01D-1682-01	0.22
TCGA-CQ-5326-01	TCGA-CQ-5326-01A-01D-1869-01	0.45
TCGA-CQ-5327-01	TCGA-CQ-5327-01A-01D-1682-01	0.45
TCGA-CQ-5329-01	TCGA-CQ-5329-01A-01D-1682-01	0.58
TCGA-CQ-5330-01	TCGA-CQ-5330-01A-01D-1682-01	0.53
TCGA-CQ-5331-01	TCGA-CQ-5331-01A-02D-1869-01	0.27
TCGA-CQ-5332-01	TCGA-CQ-5332-01A-01D-1682-01	0.64
TCGA-CQ-5333-01	TCGA-CQ-5333-01A-01D-2390-01	0.29
TCGA-CQ-5334-01	TCGA-CQ-5334-01A-01D-1682-01	0.41
TCGA-CQ-6218-01	TCGA-CQ-6218-01A-11D-1910-01	0.49
TCGA-CQ-6220-01	TCGA-CQ-6220-01A-11D-1910-01	0.39
TCGA-CQ-6223-01	TCGA-CQ-6223-01A-11D-1910-01	0.68
TCGA-CQ-6224-01	TCGA-CQ-6224-01A-11D-1910-01	0.27
TCGA-CQ-6225-01	TCGA-CQ-6225-01A-11D-1910-01	0.81
TCGA-CQ-6227-01	TCGA-CQ-6227-01A-11D-1910-01	0.33
TCGA-CQ-6228-01	TCGA-CQ-6228-01A-11D-1910-01	0.85
TCGA-CQ-6229-01	TCGA-CQ-6229-01A-11D-1910-01	0.23
TCGA-CQ-7063-01	TCGA-CQ-7063-01A-11D-2390-01	0.44
TCGA-CQ-7064-01	TCGA-CQ-7064-01A-11D-2390-01	0.4
TCGA-CQ-7065-01	TCGA-CQ-7065-01A-11D-2077-01	0.75
TCGA-CQ-7068-01	TCGA-CQ-7068-01A-11D-2077-01	0.63
TCGA-CQ-7069-01	TCGA-CQ-7069-01A-11D-2390-01	0.51
TCGA-CQ-7071-01	TCGA-CQ-7071-01A-12D-A30D-01	0.54
TCGA-CQ-7072-01	TCGA-CQ-7072-01A-21D-A30D-01	0.36
TCGA-CQ-A4C6-01	TCGA-CQ-A4C6-01A-11D-A253-01	0.36
TCGA-CQ-A4C9-01	TCGA-CQ-A4C9-01A-11D-A253-01	0.41
TCGA-CQ-A4CA-01	TCGA-CQ-A4CA-01A-11D-A253-01	0.29
TCGA-CQ-A4CB-01	TCGA-CQ-A4CB-01A-11D-A253-01	0.37
TCGA-CQ-A4CD-01	TCGA-CQ-A4CD-01A-21D-A253-01	0.52
TCGA-CQ-A4CE-01	TCGA-CQ-A4CE-01A-11D-A25X-01	0.27
TCGA-CQ-A4CG-01	TCGA-CQ-A4CG-01A-11D-A25X-01	0.75
TCGA-CQ-A4CI-01	TCGA-CQ-A4CI-01A-11D-A25X-01	0.8
TCGA-CR-5243-01	TCGA-CR-5243-01A-01D-1510-01	0.81
TCGA-CR-5247-01	TCGA-CR-5247-01A-01D-2010-01	0.64
TCGA-CR-5248-01	TCGA-CR-5248-01A-01D-2010-01	0.47
TCGA-CR-5249-01	TCGA-CR-5249-01A-01D-1510-01	0.54
TCGA-CR-5250-01	TCGA-CR-5250-01A-01D-1510-01	0.7
