array	sample	purity
TCGA-OR-A5LJ-01	TCGA-OR-A5LJ-01A-11D-A29H-01	0.93
TCGA-OR-A5LK-01	TCGA-OR-A5LK-01A-11D-A29H-01	0.57
TCGA-OR-A5LL-01	TCGA-OR-A5LL-01A-11D-A29H-01	0.77
TCGA-OR-A5LM-01	TCGA-OR-A5LM-01A-11D-A29H-01	0.76
TCGA-OR-A5LN-01	TCGA-OR-A5LN-01A-11D-A29H-01	0.71
TCGA-OR-A5LO-01	TCGA-OR-A5LO-01A-11D-A29H-01	0.87
TCGA-OR-A5LP-01	TCGA-OR-A5LP-01A-11D-A29H-01	0.76
TCGA-OR-A5LR-01	TCGA-OR-A5LR-01A-11D-A29H-01	0.89
TCGA-OR-A5LS-01	TCGA-OR-A5LS-01A-11D-A29H-01	0.84
TCGA-OR-A5LT-01	TCGA-OR-A5LT-01A-11D-A29H-01	0.92
TCGA-OU-A5PI-01	TCGA-OU-A5PI-01A-12D-A29H-01	0.89
TCGA-P6-A5OH-01	TCGA-P6-A5OH-01A-11D-A309-01	0.8
TCGA-PA-A5YG-01	TCGA-PA-A5YG-01A-11D-A29H-01	0.73
TCGA-PK-A5H9-01	TCGA-PK-A5H9-01A-11D-A29H-01	0.8
TCGA-PK-A5HA-01	TCGA-PK-A5HA-01A-11D-A29H-01	0.83
TCGA-PK-A5HB-01	TCGA-PK-A5HB-01A-11D-A29H-01	0.89
TCGA-PK-A5HC-01	TCGA-PK-A5HC-01A-11D-A309-01	0.59
TCGA-2F-A9KO-01	TCGA-2F-A9KO-01A-11D-A38F-01	0.36
TCGA-2F-A9KP-01	TCGA-2F-A9KP-01A-11D-A38F-01	0.64
TCGA-2F-A9KQ-01	TCGA-2F-A9KQ-01A-11D-A38F-01	0.96
TCGA-2F-A9KR-01	TCGA-2F-A9KR-01A-11D-A38F-01	0.89
TCGA-2F-A9KT-01	TCGA-2F-A9KT-01A-11D-A38F-01	0.41
TCGA-2F-A9KW-01	TCGA-2F-A9KW-01A-11D-A38F-01	0.58
TCGA-4Z-AA7M-01	TCGA-4Z-AA7M-01A-11D-A390-01	0.6
TCGA-4Z-AA7O-01	TCGA-4Z-AA7O-01A-31D-A390-01	0.84
TCGA-4Z-AA7Q-01	TCGA-4Z-AA7Q-01A-11D-A390-01	0.29
TCGA-4Z-AA7R-01	TCGA-4Z-AA7R-01A-11D-A390-01	0.93
TCGA-4Z-AA7S-01	TCGA-4Z-AA7S-01A-11D-A390-01	0.87
TCGA-4Z-AA7W-01	TCGA-4Z-AA7W-01A-11D-A390-01	0.32
TCGA-4Z-AA7Y-01	TCGA-4Z-AA7Y-01A-11D-A390-01	0.94
TCGA-4Z-AA80-01	TCGA-4Z-AA80-01A-11D-A390-01	0.47
TCGA-4Z-AA81-01	TCGA-4Z-AA81-01A-11D-A390-01	0.55
TCGA-4Z-AA82-01	TCGA-4Z-AA82-01A-11D-A390-01	0.58
TCGA-4Z-AA83-01	TCGA-4Z-AA83-01A-11D-A390-01	0.84
TCGA-4Z-AA84-01	TCGA-4Z-AA84-01A-11D-A390-01	0.43
TCGA-4Z-AA86-01	TCGA-4Z-AA86-01A-11D-A390-01	0.28
TCGA-4Z-AA87-01	TCGA-4Z-AA87-01A-11D-A390-01	0.61
TCGA-4Z-AA89-01	TCGA-4Z-AA89-01A-11D-A390-01	0.87
TCGA-5N-A9KI-01	TCGA-5N-A9KI-01A-31D-A42D-01	0.58
TCGA-5N-A9KM-01	TCGA-5N-A9KM-01A-11D-A42D-01	0.72
TCGA-BL-A0C8-01	TCGA-BL-A0C8-01A-11D-A273-01	0.59
TCGA-BL-A13I-01	TCGA-BL-A13I-01A-11D-A13V-01	0.33
TCGA-BL-A13J-01	TCGA-BL-A13J-01A-11D-A273-01	0.56
TCGA-BL-A3JM-01	TCGA-BL-A3JM-01A-12D-A219-01	0.76
TCGA-BL-A5ZZ-01	TCGA-BL-A5ZZ-01A-31D-A30D-01	0.38
TCGA-BT-A0S7-01	TCGA-BT-A0S7-01A-11D-A10T-01	0.29
TCGA-BT-A0YX-01	TCGA-BT-A0YX-01A-11D-A10T-01	0.49
TCGA-BT-A20J-01	TCGA-BT-A20J-01A-11D-A14V-01	0.4
TCGA-BT-A20N-01	TCGA-BT-A20N-01A-11D-A14V-01	0.72
TCGA-BT-A20O-01	TCGA-BT-A20O-01A-21D-A14V-01	0.16
TCGA-BT-A20P-01	TCGA-BT-A20P-01A-11D-A14V-01	0.93
TCGA-BT-A20Q-01	TCGA-BT-A20Q-01A-11D-A14V-01	0.68
TCGA-BT-A20R-01	TCGA-BT-A20R-01A-12D-A16M-01	0.46
TCGA-BT-A20T-01	TCGA-BT-A20T-01A-11D-A14V-01	0.75
TCGA-BT-A20U-01	TCGA-BT-A20U-01A-11D-A14V-01	0.5
TCGA-BT-A20V-01	TCGA-BT-A20V-01A-11D-A14V-01	0.66
TCGA-BT-A20W-01	TCGA-BT-A20W-01A-21D-A14V-01	0.72
TCGA-BT-A20X-01	TCGA-BT-A20X-01A-11D-A16M-01	0.37
TCGA-BT-A2LA-01	TCGA-BT-A2LA-01A-11D-A18E-01	0.95
TCGA-BT-A2LB-01	TCGA-BT-A2LB-01A-11D-A18E-01	0.5
TCGA-BT-A2LD-01	TCGA-BT-A2LD-01A-12D-A20B-01	0.59
